id,subcontractor,year,month,overall_progress_pct,plan_progress_pct,subcontractor_id,project_id
1,Daewoo,2019,4,0.0,0.0,3,1
2,Daewoo,2019,5,0.0,0.001632317138946132,3,1
3,Daewoo,2019,6,0.0,0.04362483111917456,3,1
4,Daewoo,2019,7,0.0,0.049906123627106454,3,1
5,Daewoo,2019,8,0.0,0.07092501697483945,3,1
6,Daewoo,2019,9,0.0,0.11835593380728796,3,1
7,Daewoo,2019,10,0.01242875268717643,0.12303915392241495,3,1
8,Daewoo,2019,11,0.03588480437971506,0.12587565096173503,3,1
9,Daewoo,2019,12,0.05797453406963633,0.12764274897031452,3,1
10,Daewoo,2020,1,0.08473772435028917,0.14895285961314625,3,1
11,Daewoo,2020,2,0.17458591620743083,0.1773934261666771,3,1
12,Daewoo,2020,3,0.27693125586696854,0.39763288872107744,3,1
13,Daewoo,2020,4,0.3454640207207465,0.440448817524313,3,1
14,Daewoo,2020,5,0.44576645063834175,0.4851041691589698,3,1
15,Daewoo,2020,6,0.5405629447565271,0.5045245557517709,3,1
16,Daewoo,2020,7,0.6201077038855167,0.5312061505467528,3,1
17,Daewoo,2020,8,0.6898585214638571,0.6666539323484106,3,1
18,Daewoo,2020,9,0.7189584599377987,0.6689524352349386,3,1
19,Daewoo,2020,10,0.7792085625930546,0.6757395874715388,3,1
20,Daewoo,2020,11,0.8530257146728382,0.7216379756953734,3,1
21,Daewoo,2020,12,0.8532141812691615,0.7525430504179911,3,1
22,Daewoo,2021,1,0.8532141812691615,0.8178158835105959,3,1
23,Daewoo,2021,2,0.8532832407697262,0.819,3,1
24,Daewoo,2021,3,0.857,0.82,3,1
25,Daewoo,2021,4,0.865,0.822,3,1
26,Daewoo,2021,5,0.867,0.824,3,1
27,Daewoo,2021,6,0.8690305244217029,0.8245224282720841,3,1
28,Daewoo,2021,7,0.8748985867125921,0.8546014759360645,3,1
29,Daewoo,2021,8,0.8748985867125921,0.8818792022858097,3,1
30,Daewoo,2021,9,0.8776693498420101,0.884,3,1
31,Daewoo,2021,10,0.879,0.8852863854936255,3,1
32,Daewoo,2021,11,0.8895267214531115,0.888213126695642,3,1
33,Daewoo,2021,12,0.9052681420303144,0.9035720904647958,3,1
34,Daewoo,2022,1,0.9339407665405335,0.9326368381106092,3,1
35,Daewoo,2022,2,0.9674529524721243,0.968490474145906,3,1
36,Daewoo,2022,3,0.9752864121578574,0.9922114934225063,3,1
37,Daewoo,2022,4,0.9864416637694667,0.9993501770054803,3,1
38,Daewoo,2022,5,0.9929855862738636,0.9996575901355065,3,1
39,Daewoo,2022,6,0.9963690551592039,0.9999999870642454,3,1
40,Daewoo,2022,7,0.9969620944231873,0.9999999870642454,3,1
41,Daewoo,2022,8,0.9978012210172869,0.9999999870642454,3,1
42,Daewoo,2022,9,0.9990587768029311,0.9999999922904133,3,1
43,Daewoo,2022,10,0.9996955933603251,0.9999999922904133,3,1
44,Daewoo,2022,11,0.9999999922904133,0.9999999922904133,3,1
45,Daewoo,2022,12,0.9999999922904133,0.9999999922904133,3,1
46,Daewoo,2023,1,0.9999999922904133,0.9999999922904133,3,1
47,Daewoo,2023,2,0.9999999922904133,0.9999999922904133,3,1
48,Daewoo,2023,3,0.9999999922904133,0.9999999922904133,3,1
49,Daewoo,2023,4,0.9999999922904133,0.9999999922904133,3,1
50,Daewoo,2023,5,0.9999999922904133,0.9999999922904133,3,1
51,Daewoo,2023,6,0.9999999922904133,0.9999999922904133,3,1
52,Daewoo,2023,7,0.9999999922904133,0.9999999922904133,3,1
53,Daewoo,2023,8,0.9999999922904133,0.9999999922904133,3,1
54,Daewoo,2023,9,0.9999999922904133,0.9999999922904133,3,1
55,Meindo,2019,4,0.0,0.0,1,1
56,Meindo,2019,5,0.0,0.0,1,1
57,Meindo,2019,6,2.627683452448057e-05,0.007505440513044852,1,1
58,Meindo,2019,7,0.00018615090476297328,0.021631634608419797,1,1
59,Meindo,2019,8,0.0034873795110171506,0.04996344258637726,1,1
60,Meindo,2019,9,0.019297648180012738,0.08304015545808527,1,1
61,Meindo,2019,10,0.052595194486311975,0.13099818821303333,1,1
62,Meindo,2019,11,0.13271138483845119,0.22765929674299493,1,1
63,Meindo,2019,12,0.2325379955246979,0.29548200057376584,1,1
64,Meindo,2020,1,0.33432204855296965,0.36544575801189577,1,1
65,Meindo,2020,2,0.45036106180821267,0.45444907142729396,1,1
66,Meindo,2020,3,0.5209380984163268,0.5089570697400259,1,1
67,Meindo,2020,4,0.5209602807970033,0.5143094422479801,1,1
68,Meindo,2020,5,0.5210784495508727,0.5158999843892306,1,1
69,Meindo,2020,6,0.5285661867103005,0.5225325358848762,1,1
70,Meindo,2020,7,0.5817903807939164,0.52470283388403,1,1
71,Meindo,2020,8,0.5857471646368492,0.5796057934302983,1,1
72,Meindo,2020,9,0.594895294565264,0.5917718010561546,1,1
73,Meindo,2020,10,0.6251749529064156,0.6206512181379849,1,1
74,Meindo,2020,11,0.6481685968523445,0.6429051486904549,1,1
75,Meindo,2020,12,0.6498629054834992,0.7168924292273481,1,1
76,Meindo,2021,1,0.6498629054834992,0.717,1,1
77,Meindo,2021,2,0.6498629054834992,0.718,1,1
78,Meindo,2021,3,0.651,0.718,1,1
79,Meindo,2021,4,0.652,0.719,1,1
80,Meindo,2021,5,0.655,0.72,1,1
81,Meindo,2021,6,0.658,0.721,1,1
82,Meindo,2021,7,0.66,0.722,1,1
83,Meindo,2021,8,0.67,0.722689217283614,1,1
84,Meindo,2021,9,0.68,0.753926297032108,1,1
